Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,8,1209822,69995,10181,1632
c,100000,100000_rows.csv,8,1239953,69995,10181,1552
c,100000,100000_rows.csv,8,1269016,90572,11660,104888
c,100000,100000_rows.csv,8,1293469,92427,11693,104864
c,100000,100000_rows.csv,8,1322334,100680,11816,1944
c,100000,100000_rows.csv,8,1341785,104799,11841,2032
c,100000,100000_rows.csv,8,1368237,154145,11935,2032
c,100000,100000_rows.csv,8,1383129,182929,11991,2032
c,100000,100000_rows.csv,8,1385796,182646,11794,4584
c,100000,100000_rows.csv,8,1388439,182646,11794,904
c,100000,100000_rows.csv,8,1391070,178148,11396,672
c,100000,100000_rows.csv,9,0,0,0,0
c,100000,100000_rows.csv,9,2621,0,0,448
c,100000,100000_rows.csv,9,41470,0,0,448
c,100000,100000_rows.csv,9,70245,0,0,3920
c,100000,100000_rows.csv,9,86548,0,0,1376
c,100000,100000_rows.csv,9,115756,0,0,1408
c,100000,100000_rows.csv,9,133445,0,0,1608
c,100000,100000_rows.csv,9,157000,0,0,1384
c,100000,100000_rows.csv,9,187631,0,0,1960
c,100000,100000_rows.csv,9,224274,0,0,1384
c,100000,100000_rows.csv,9,249397,0,0,1704
c,100000,100000_rows.csv,9,280711,0,0,1384
c,100000,100000_rows.csv,9,318564,0,0,1864
c,100000,100000_rows.csv,9,359136,0,0,1864
c,100000,100000_rows.csv,9,392688,0,0,1864
c,100000,100000_rows.csv,9,413566,0,0,1608
c,100000,100000_rows.csv,9,445814,0,0,1864
c,100000,100000_rows.csv,9,472712,0,0,1720
c,100000,100000_rows.csv,9,491785,2356,68,1624
c,100000,100000_rows.csv,9,516490,3992,320,1656
c,100000,100000_rows.csv,9,555807,12864,512,1232
c,100000,100000_rows.csv,9,589845,24112,2160,1424
c,100000,100000_rows.csv,9,627678,31372,4380,1408
c,100000,100000_rows.csv,9,643865,34508,5284,1424
c,100000,100000_rows.csv,9,669124,37805,6691,1288
c,100000,100000_rows.csv,9,693799,40232,8096,1424
c,100000,100000_rows.csv,9,712862,58308,8772,1296
c,100000,100000_rows.csv,9,744010,60686,9018,1000
c,100000,100000_rows.csv,9,784928,65888,10144,992
c,100000,100000_rows.csv,9,812602,64614,10242,1304
c,100000,100000_rows.csv,9,853112,64614,10242,1064
c,100000,100000_rows.csv,9,874536,64614,10242,1064
c,100000,100000_rows.csv,9,906394,64614,10242,848
c,100000,100000_rows.csv,9,927811,64614,10242,840
c,100000,100000_rows.csv,9,949235,64614,10242,840
c,100000,100000_rows.csv,9,986468,64626,10254,1000
c,100000,100000_rows.csv,9,1026998,67848,10312,768
c,100000,100000_rows.csv,9,1065658,73300,10884,7024
c,100000,100000_rows.csv,9,1096695,74857,11127,7920
c,100000,100000_rows.csv,9,1121263,73468,10996,1920
c,100000,100000_rows.csv,9,1145060,73407,11169,1576
c,100000,100000_rows.csv,9,1171437,73806,11394,1792
c,100000,100000_rows.csv,9,1209822,69995,10181,1632
c,100000,100000_rows.csv,9,1239953,69995,10181,1552
c,100000,100000_rows.csv,9,1269016,90572,11660,104888
c,100000,100000_rows.csv,9,1293469,92427,11693,104864
c,100000,100000_rows.csv,9,1322334,100680,11816,1944
c,100000,100000_rows.csv,9,1341785,104799,11841,2032
c,100000,100000_rows.csv,9,1368237,154145,11935,2032
c,100000,100000_rows.csv,9,1383129,182929,11991,2032
c,100000,100000_rows.csv,9,1385796,182646,11794,4584
c,100000,100000_rows.csv,9,1388439,182646,11794,904
c,100000,100000_rows.csv,9,1391070,178148,11396,672
c,100000,100000_rows.csv,10,0,0,0,0
c,100000,100000_rows.csv,10,2621,0,0,448
c,100000,100000_rows.csv,10,41470,0,0,448
c,100000,100000_rows.csv,10,70245,0,0,3920
c,100000,100000_rows.csv,10,86548,0,0,1376
c,100000,100000_rows.csv,10,115756,0,0,1408
c,100000,100000_rows.csv,10,133445,0,0,1608
c,100000,100000_rows.csv,10,157000,0,0,1384
c,100000,100000_rows.csv,10,187631,0,0,1960
c,100000,100000_rows.csv,10,224274,0,0,1384
c,100000,100000_rows.csv,10,249397,0,0,1704
c,100000,100000_rows.csv,10,280711,0,0,1384
c,100000,100000_rows.csv,10,318564,0,0,1864
c,100000,100000_rows.csv,10,359136,0,0,1864
c,100000,100000_rows.csv,10,392688,0,0,1864
c,100000,100000_rows.csv,10,413566,0,0,1608
c,100000,100000_rows.csv,10,445814,0,0,1864
c,100000,100000_rows.csv,10,472712,0,0,1720
c,100000,100000_rows.csv,10,491785,2356,68,1624
c,100000,100000_rows.csv,10,516490,3992,320,1656
c,100000,100000_rows.csv,10,555807,12864,512,1232
c,100000,100000_rows.csv,10,589845,24112,2160,1424
c,100000,100000_rows.csv,10,627678,31372,4380,1408
c,100000,100000_rows.csv,10,643865,34508,5284,1424
c,100000,100000_rows.csv,10,669124,37805,6691,1288
