Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,7,150618,0,0,1936
c,100000,100000_rows.csv,7,169315,0,0,1680
c,100000,100000_rows.csv,7,197166,0,0,2000
c,100000,100000_rows.csv,7,215842,0,0,2000
c,100000,100000_rows.csv,7,228229,0,0,1680
c,100000,100000_rows.csv,7,249324,0,0,1680
c,100000,100000_rows.csv,7,272617,0,0,2000
c,100000,100000_rows.csv,7,293371,0,0,2000
c,100000,100000_rows.csv,7,313135,0,0,2000
c,100000,100000_rows.csv,7,340817,0,0,2000
c,100000,100000_rows.csv,7,363025,0,0,2000
c,100000,100000_rows.csv,7,378719,0,0,1680
c,100000,100000_rows.csv,7,394243,0,0,2000
c,100000,100000_rows.csv,7,419239,0,0,144
c,100000,100000_rows.csv,7,446899,3908,284,1328
c,100000,100000_rows.csv,7,466674,5712,408,1472
c,100000,100000_rows.csv,7,480082,21012,524,1488
c,100000,100000_rows.csv,7,500400,23538,1902,1424
c,100000,100000_rows.csv,7,513084,24993,2767,1456
c,100000,100000_rows.csv,7,542243,32418,4446,1472
c,100000,100000_rows.csv,7,565490,35006,5826,1344
c,100000,100000_rows.csv,7,584515,54882,6654,1120
c,100000,100000_rows.csv,7,613412,54882,6654,992
c,100000,100000_rows.csv,7,636974,57668,7412,1424
c,100000,100000_rows.csv,7,655345,57680,7424,1440
c,100000,100000_rows.csv,7,677157,57668,7412,1040
c,100000,100000_rows.csv,7,691901,57668,7412,1040
c,100000,100000_rows.csv,7,709296,57668,7412,1200
c,100000,100000_rows.csv,7,739073,57668,7412,1328
c,100000,100000_rows.csv,7,768710,57668,7412,992
c,100000,100000_rows.csv,7,783563,57680,7424,960
c,100000,100000_rows.csv,7,798558,57680,7424,1296
c,100000,100000_rows.csv,7,828195,57680,7424,960
c,100000,100000_rows.csv,7,848124,63500,7604,5088
c,100000,100000_rows.csv,7,865098,65598,7770,14320
c,100000,100000_rows.csv,7,879985,65381,7939,5472
c,100000,100000_rows.csv,7,902264,67739,8197,12144
c,100000,100000_rows.csv,7,917115,66232,8088,3232
c,100000,100000_rows.csv,7,933334,68490,8374,8000
c,100000,100000_rows.csv,7,946992,67460,8276,15312
c,100000,100000_rows.csv,7,961988,66697,8271,1728
c,100000,100000_rows.csv,7,984282,66850,8518,2080
c,100000,100000_rows.csv,7,1007006,67035,8533,1536
c,100000,100000_rows.csv,7,1043390,64360,7864,1456
c,100000,100000_rows.csv,7,1055778,67129,8567,1984
c,100000,100000_rows.csv,7,1068168,66906,8366,1264
c,100000,100000_rows.csv,8,0,0,0,0
c,100000,100000_rows.csv,8,19217,0,0,336
c,100000,100000_rows.csv,8,47846,0,0,1104
c,100000,100000_rows.csv,8,69360,0,0,2000
c,100000,100000_rows.csv,8,82221,0,0,1936
c,100000,100000_rows.csv,8,106486,0,0,1680
c,100000,100000_rows.csv,8,120890,0,0,1680
c,100000,100000_rows.csv,8,150618,0,0,1936
c,100000,100000_rows.csv,8,169315,0,0,1680
c,100000,100000_rows.csv,8,197166,0,0,2000
c,100000,100000_rows.csv,8,215842,0,0,2000
c,100000,100000_rows.csv,8,228229,0,0,1680
c,100000,100000_rows.csv,8,249324,0,0,1680
c,100000,100000_rows.csv,8,272617,0,0,2000
c,100000,100000_rows.csv,8,293371,0,0,2000
c,100000,100000_rows.csv,8,313135,0,0,2000
c,100000,100000_rows.csv,8,340817,0,0,2000
c,100000,100000_rows.csv,8,363025,0,0,2000
c,100000,100000_rows.csv,8,378719,0,0,1680
c,100000,100000_rows.csv,8,394243,0,0,2000
c,100000,100000_rows.csv,8,419239,0,0,144
c,100000,100000_rows.csv,8,446899,3908,284,1328
c,100000,100000_rows.csv,8,466674,5712,408,1472
c,100000,100000_rows.csv,8,480082,21012,524,1488
c,100000,100000_rows.csv,8,500400,23538,1902,1424
c,100000,100000_rows.csv,8,513084,24993,2767,1456
c,100000,100000_rows.csv,8,542243,32418,4446,1472
c,100000,100000_rows.csv,8,565490,35006,5826,1344
c,100000,100000_rows.csv,8,584515,54882,6654,1120
c,100000,100000_rows.csv,8,613412,54882,6654,992
c,100000,100000_rows.csv,8,636974,57668,7412,1424
